Baba Ghulam Shah Badshah University,http://www.bgsbuniversity.org,"Rajouri Camp Office, Bye Pass-
Road,Chinnai Himmat, Jammu",Rajouri
Cluster University of Jammu,,"Govt College for Women,
Gandhi Nagar, Jammu",Jammu
Cluster University of Srinagar,,"S.P. College Srinagar,
Srinagar",Srinagar
Islamic University of Sciences & Technology University,http://www.islamicuniversity.edu.in,"University Avenue,Awantipora
Pulwama-192 122 Kashmir",Srinagar
Jammu University,http://www.jammuuniversity.in,"Baba Saheb Ambedkar Road,
Jammu Tawi - 180 004.",Jammu
Kashmir University,http://www.kashmiruniversity.net,"Hazratbal, Srinagar,
PIN - 190 006. (J & K)",Srinagar
Sher-e-Kashmir University of Agricultural Science & Technology,http://www.skuastkashmir.ac.in,"Shalimar Campus P.B.No 262
Srinagar-190 001. (J&K)",Srinagar
Shri Mata Vaishno Devi University,http://www.smvdu.net.in,"Sub-post office-182320
Katra,J&K",Katra
