"GOVERNMENT POLYTECHNIC FOR WOMEN, SRINAGAR",BEMINA,SRINAGAR,Government
GOVERNMENT POLYTECHNIC UDHAMPUR,GOVERNMENT POLYTECHNIC UDHAMPUR NEAR CMO OFFICE GOLE MARKET UDHAMPUR J&K,UDHAMPUR,Government
SCHOOL OF MANAGEMENT STUDIES,BABA GHULAM SHAH BADSHAH UNIVERSITY DHANORE (RAJOIRI),RAJAURI,State Government University
GOVT. POLYTECHNIC COLLEGE BARAMULLA,NATIONAL HIGHWAY KANISPORA,BARAMULLA,Government
THE BUSINESS SCHOOL,"THE BUSINESS SCHOOL, UNIVERSITY OF JAMMU ,BABA SAHEB AMBEDKAR ROAD, BAHU WALI RAKH ,JAMMU",JAMMU,State Government University
SSM POLYTECHNIC,"PARIHASPORA,DIVER,PATTAN",BARAMULLA,Private-Self Financing
"SCHOOL OF COMPUTER SCIENCES & INFORMATION TECHNOLOGY, BGSB UNIVERSITY, RAJOURI, J&K",SCHOOL OF COMPUTER SCIENCES & INFORMATION TECHNOLOGY BABA GHULAM SHAH BADSHAH UNIVERSITY RAJOURI J&K,RAJAURI,State Government University
KASHMIR GOVERNMENT POLYTECHNIC,GOGJIBAGH,SRINAGAR,Government
DEPARTMENT OF MANAGEMENT STUDIES,"ISLAMIA COLLEGE OF SCIENCE AND COMMERCE, HAWAL",SRINAGAR,Govt aided
GOVT. POLYTECHNIC COLLEGE DODA,KELLANI DODA,DODA,Government
"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU","CHAK BHALWAL, JAMMU",JAMMU,Government
MODEL INSTITUTE OF ENGINEERING AND TECHNOLOGY,"KOT BHALWAL, JAMMU 181122 JAMMU AND KASHMIR",JAMMU,Private-Self Financing
GOVT. POLYTECHNIC RAMBAN,OLD D.C. OFFICE COMPLEX NEAR GOVT. DISTT. HOSPITAL RAMBAN,RAMBAN,Government
"DEPARTMENT OF COMPUTER SCIENCE AND IT, CENTRAL UNIVERSITY OF JAMMU",RAHYA-SUCHANI(BAGLA),SAMBA,Central University
GOVT. POLYTECHNIC FOR WOMEN,LOWER SHIV NAGAR NEAR AG'S OFFICE JAMMU,JAMMU,Government
DEPARTMENT OF COMPUTER SC. & IT,"DEPARTMENT OF COMPUTER SC. & IT, UNIVERITY OF JAMMU, BABA SAHEB AMBEDKAR RAOD,JAMMU",JAMMU,Government
INSTITUTE OF TECHNOLOGY UNIVERSITY OF KASHMIR ZAKURA CAMPUS,"ZAKURA,SRINAGAR,JAMMU AND KASHMIR ,INDIA",SRINAGAR,State Government University
UNIVERSITY POLYTECHNIC,"UNIVERSITY POLYTECHNIC, BABA GHULAM SHAH BADSHAH UNIVERSITY, RAJOURI, J&K",RAJAURI,Government
